case_id,category,drug1,drug2,query,truth_interacts,source_note
1,major,Choline magnesium trisalicylate,Technetium Tc-99m medronate,What happens if I take Choline magnesium trisalicylate and Technetium Tc-99m medronate together?,True,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Technetium Tc-99m medronate.
2,major,Choline magnesium trisalicylate,Beclomethasone dipropionate,What happens if I take Choline magnesium trisalicylate and Beclomethasone dipropionate together?,True,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Beclomethasone dipropionate.
3,major,Choline magnesium trisalicylate,Omacetaxine mepesuccinate,What happens if I take Choline magnesium trisalicylate and Omacetaxine mepesuccinate together?,True,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Omacetaxine mepesuccinate.
4,major,Choline magnesium trisalicylate,Fluticasone propionate,What happens if I take Choline magnesium trisalicylate and Fluticasone propionate together?,True,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Fluticasone propionate.
5,major,Choline magnesium trisalicylate,Fluocinolone acetonide,What happens if I take Choline magnesium trisalicylate and Fluocinolone acetonide together?,True,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Fluocinolone acetonide.
6,major,Mycophenolate mofetil,Choline magnesium trisalicylate,What happens if I take Mycophenolate mofetil and Choline magnesium trisalicylate together?,True,The risk or severity of adverse effects can be increased when Mycophenolate mofetil is combined with Choline magnesium trisalicylate.
7,major,Choline magnesium trisalicylate,Clobetasol propionate,What happens if I take Choline magnesium trisalicylate and Clobetasol propionate together?,True,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Clobetasol propionate.
8,major,Candesartan cilexetil,Choline magnesium trisalicylate,What happens if I take Candesartan cilexetil and Choline magnesium trisalicylate together?,True,The risk or severity of adverse effects can be increased when Candesartan cilexetil is combined with Choline magnesium trisalicylate.
9,major,Magnesium salicylate,Choline magnesium trisalicylate,What happens if I take Magnesium salicylate and Choline magnesium trisalicylate together?,True,The risk or severity of adverse effects can be increased when Magnesium salicylate is combined with Choline magnesium trisalicylate.
10,major,Choline magnesium trisalicylate,Tenofovir disoproxil,What happens if I take Choline magnesium trisalicylate and Tenofovir disoproxil together?,True,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Tenofovir disoproxil.
11,major,Azilsartan medoxomil,Choline magnesium trisalicylate,What happens if I take Azilsartan medoxomil and Choline magnesium trisalicylate together?,True,The risk or severity of adverse effects can be increased when Azilsartan medoxomil is combined with Choline magnesium trisalicylate.
12,major,Acetylsalicylic acid,Choline magnesium trisalicylate,What happens if I take Acetylsalicylic acid and Choline magnesium trisalicylate together?,True,The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Choline magnesium trisalicylate.
13,major,Choline magnesium trisalicylate,Fluticasone furoate,What happens if I take Choline magnesium trisalicylate and Fluticasone furoate together?,True,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Fluticasone furoate.
14,major,Choline magnesium trisalicylate,Methylprednisolone,What happens if I take Choline magnesium trisalicylate and Methylprednisolone together?,True,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Methylprednisolone.
15,major,Beclomethasone dipropionate,Gallamine triethiodide,What happens if I take Beclomethasone dipropionate and Gallamine triethiodide together?,True,The risk or severity of adverse effects can be increased when Beclomethasone dipropionate is combined with Gallamine triethiodide.
