case_id,category,drug1,drug2,query,truth,prediction,support_score,support_rule,source_note,answer_excerpt
1,major,Choline magnesium trisalicylate,Technetium Tc-99m medronate,What happens if I take Choline magnesium trisalicylate and Technetium Tc-99m medronate together?,True,True,0.75,together_section_cues=2,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Technetium Tc-99m medronate.,"**What happens when both are taken together:**
- The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Technetium Tc-99m medronate.

**What happens in the body:**
- The knowledge base does not describe t..."
2,major,Choline magnesium trisalicylate,Beclomethasone dipropionate,What happens if I take Choline magnesium trisalicylate and Beclomethasone dipropionate together?,True,True,0.75,together_section_cues=2,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Beclomethasone dipropionate.,"**What happens when both are taken together:**
- The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Beclomethasone dipropionate.

**What happens in the body:**
- The knowledge base does not describe t..."
3,major,Choline magnesium trisalicylate,Omacetaxine mepesuccinate,What happens if I take Choline magnesium trisalicylate and Omacetaxine mepesuccinate together?,True,True,0.75,together_section_cues=2,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Omacetaxine mepesuccinate.,"**What happens when both are taken together:**
- The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Omacetaxine mepesuccinate.

**What happens in the body:**
- The knowledge base does not describe the..."
4,major,Choline magnesium trisalicylate,Fluticasone propionate,What happens if I take Choline magnesium trisalicylate and Fluticasone propionate together?,True,True,0.75,together_section_cues=2,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Fluticasone propionate.,"**What happens when both are taken together:**
- The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Fluticasone propionate.

**What happens in the body:**
- The knowledge base does not describe the sp..."
5,major,Choline magnesium trisalicylate,Fluocinolone acetonide,What happens if I take Choline magnesium trisalicylate and Fluocinolone acetonide together?,True,True,0.75,together_section_cues=2,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Fluocinolone acetonide.,"**What happens when both are taken together:**
- The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Fluocinolone acetonide.

**What happens in the body:**
- The knowledge base does not describe the sp..."
6,major,Mycophenolate mofetil,Choline magnesium trisalicylate,What happens if I take Mycophenolate mofetil and Choline magnesium trisalicylate together?,True,True,0.75,together_section_cues=2,The risk or severity of adverse effects can be increased when Mycophenolate mofetil is combined with Choline magnesium trisalicylate.,"**What happens when both are taken together:**
- The risk or severity of adverse effects can be increased when Mycophenolate mofetil is combined with Choline magnesium trisalicylate.

**What happens in the body:**
- The knowledge base does not describe the spe..."
7,major,Choline magnesium trisalicylate,Clobetasol propionate,What happens if I take Choline magnesium trisalicylate and Clobetasol propionate together?,True,True,0.75,together_section_cues=2,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Clobetasol propionate.,"**What happens when both are taken together:**
- The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Clobetasol propionate.

**What happens in the body:**
- The knowledge base does not describe the spe..."
8,major,Candesartan cilexetil,Choline magnesium trisalicylate,What happens if I take Candesartan cilexetil and Choline magnesium trisalicylate together?,True,True,0.75,together_section_cues=2,The risk or severity of adverse effects can be increased when Candesartan cilexetil is combined with Choline magnesium trisalicylate.,"**What happens when both are taken together:**
- The risk or severity of adverse effects can be increased when Candesartan cilexetil is combined with Choline magnesium trisalicylate.

**What happens in the body:**
- The knowledge base does not describe the spe..."
9,major,Magnesium salicylate,Choline magnesium trisalicylate,What happens if I take Magnesium salicylate and Choline magnesium trisalicylate together?,True,True,0.75,together_section_cues=2,The risk or severity of adverse effects can be increased when Magnesium salicylate is combined with Choline magnesium trisalicylate.,"**What happens when both are taken together:**
- The risk or severity of adverse effects can be increased when Magnesium salicylate is combined with Choline magnesium trisalicylate.

**What happens in the body:**
- The knowledge base does not describe the spec..."
10,major,Choline magnesium trisalicylate,Tenofovir disoproxil,What happens if I take Choline magnesium trisalicylate and Tenofovir disoproxil together?,True,True,0.75,together_section_cues=2,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Tenofovir disoproxil.,"**What happens when both are taken together:**
- The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Tenofovir disoproxil.

**What happens in the body:**
- The knowledge base does not describe the spec..."
